,age,weight_kg,preferred_foot,international_reputation,work_rate_encoded,Midfiled,Attack,Defence,Mentality
86,28,81,1,2,5,46.733333333333334,19.6,66.78571428571429,31.285714285714285
87,29,86,0,2,5,39.86666666666667,17.6,67.57142857142857,29.142857142857142
88,28,85,0,3,5,41.333333333333336,18.0,65.28571428571429,28.857142857142858
89,26,94,1,3,5,73.2,78.6,21.428571428571427,63.714285714285715
90,28,83,0,3,3,59.06666666666667,41.6,34.285714285714285,59.57142857142857
91,29,84,0,2,5,44.666666666666664,17.6,65.71428571428571,30.142857142857142
92,27,78,1,4,5,81.0,73.8,32.285714285714285,77.57142857142857
93,26,75,0,3,4,72.46666666666667,76.2,20.571428571428573,62.857142857142854
94,27,73,0,3,9,74.0,62.4,34.142857142857146,75.14285714285714
95,26,65,1,3,8,77.8,74.0,24.785714285714285,69.14285714285714
96,37,95,0,5,4,72.6,80.8,26.428571428571427,69.42857142857143
97,31,68,0,3,8,79.26666666666667,70.2,24.714285714285715,67.0
98,31,89,0,4,8,73.4,79.2,21.428571428571427,60.714285714285715
99,32,75,1,3,6,75.53333333333333,71.4,35.357142857142854,77.28571428571429
100,29,82,1,4,5,83.33333333333333,84.0,27.642857142857142,71.85714285714286
101,31,75,1,4,7,80.86666666666666,77.0,32.42857142857143,77.14285714285714
102,30,81,0,3,6,76.53333333333333,77.4,33.285714285714285,80.57142857142857
103,28,80,1,3,8,78.26666666666667,72.8,32.642857142857146,75.28571428571429
104,31,67,1,2,9,76.86666666666666,81.6,23.285714285714285,67.57142857142857
105,27,74,0,3,9,79.0,72.8,30.857142857142858,77.42857142857143
106,27,75,1,4,5,75.8,82.2,25.928571428571427,71.57142857142857
107,28,74,0,2,6,76.8,69.0,33.857142857142854,80.57142857142857
108,19,76,0,2,4,75.06666666666666,71.2,19.785714285714285,57.42857142857143
109,20,83,1,1,5,76.26666666666667,78.6,20.714285714285715,62.285714285714285
110,22,67,1,3,8,78.26666666666667,72.8,20.428571428571427,63.57142857142857
111,24,85,0,1,5,39.06666666666667,24.6,65.71428571428571,31.0
112,25,74,0,2,8,79.4,71.0,31.928571428571427,73.42857142857143
113,23,80,0,3,9,76.6,79.2,27.285714285714285,80.0
114,23,76,1,3,9,70.0,67.6,31.285714285714285,70.42857142857143
115,22,73,0,2,5,75.6,69.6,29.214285714285715,76.71428571428571
116,25,78,0,3,7,82.0,76.0,20.0,64.14285714285714
117,24,79,0,3,8,78.93333333333334,76.6,29.928571428571427,76.0
118,23,83,0,2,5,78.0,74.8,21.642857142857142,60.142857142857146
119,23,75,0,2,4,80.06666666666666,72.4,16.857142857142858,56.57142857142857
120,23,75,0,2,8,78.8,72.6,22.857142857142858,64.42857142857143
121,25,75,1,3,8,80.53333333333333,74.8,21.714285714285715,65.28571428571429
122,27,83,0,3,5,43.2,17.2,67.0,32.42857142857143
123,26,74,0,2,5,76.53333333333333,73.2,24.571428571428573,58.857142857142854
124,26,71,1,3,9,80.53333333333333,75.8,32.42857142857143,78.71428571428571
125,27,81,0,1,5,32.4,17.6,62.714285714285715,20.428571428571427
126,27,78,0,3,6,62.86666666666667,50.8,33.785714285714285,67.14285714285714
127,26,70,0,3,8,77.8,70.6,25.071428571428573,68.14285714285714
128,36,81,0,4,6,64.73333333333333,53.6,36.857142857142854,69.42857142857143
129,32,61,0,3,9,75.33333333333333,77.4,33.642857142857146,76.0
130,32,93,0,3,5,41.46666666666667,16.0,64.28571428571429,31.571428571428573
131,32,80,0,3,5,40.6,13.8,64.35714285714286,30.571428571428573
132,31,73,0,3,8,76.66666666666667,77.8,31.357142857142858,76.0
133,31,85,0,3,6,62.93333333333333,57.4,34.214285714285715,64.0
134,32,78,0,3,6,72.73333333333333,67.6,34.0,78.0
135,30,76,1,4,4,72.93333333333334,75.2,20.642857142857142,59.0
136,30,86,0,3,2,63.733333333333334,64.4,34.357142857142854,74.42857142857143
137,30,79,0,3,5,43.4,16.8,65.35714285714286,31.714285714285715
138,33,80,0,3,5,68.66666666666667,77.6,25.928571428571427,68.57142857142857
139,28,69,0,3,9,79.2,74.2,31.785714285714285,77.71428571428571
140,30,80,0,3,5,79.86666666666666,80.2,27.714285714285715,73.28571428571429
141,33,85,0,3,9,71.6,81.6,30.5,76.14285714285714
142,32,75,0,4,9,78.2,78.6,33.214285714285715,84.14285714285714
143,30,90,0,4,5,65.8,63.0,34.357142857142854,70.85714285714286
144,29,76,0,3,5,72.13333333333334,66.6,33.92857142857143,76.42857142857143
145,32,73,0,3,9,76.93333333333334,77.8,26.357142857142858,66.42857142857143
146,28,80,0,3,8,76.26666666666667,72.4,30.857142857142858,78.42857142857143
147,30,80,0,3,9,78.66666666666667,77.6,33.285714285714285,78.71428571428571
148,29,70,0,3,9,78.86666666666666,68.2,34.0,73.14285714285714
149,28,65,1,2,8,75.2,70.4,27.571428571428573,69.57142857142857
150,28,70,1,3,8,81.13333333333334,71.0,24.214285714285715,65.57142857142857
151,29,72,0,3,8,77.66666666666667,73.0,30.0,77.0
152,30,76,1,3,5,77.53333333333333,79.2,24.928571428571427,69.0
153,31,79,1,3,5,75.2,77.4,24.928571428571427,69.28571428571429
154,28,67,1,3,5,79.4,72.0,22.857142857142858,63.714285714285715
155,29,63,0,2,8,78.86666666666666,72.8,26.642857142857142,67.57142857142857
156,30,83,0,3,6,60.53333333333333,56.2,34.285714285714285,66.42857142857143
157,23,70,1,1,5,72.2,73.2,30.071428571428573,75.0
158,24,78,1,2,6,61.53333333333333,48.6,32.285714285714285,63.57142857142857
159,23,68,1,1,8,78.33333333333333,73.4,27.428571428571427,73.42857142857143
160,20,69,0,1,8,76.13333333333334,68.6,29.571428571428573,72.71428571428571
161,21,85,0,1,5,74.93333333333334,78.0,17.285714285714285,58.42857142857143
162,25,78,1,3,5,73.6,74.0,22.357142857142858,62.857142857142854
163,23,76,0,3,4,78.06666666666666,75.0,21.285714285714285,64.14285714285714
164,25,80,1,2,7,78.53333333333333,77.8,25.928571428571427,70.14285714285714
165,23,97,0,2,5,56.733333333333334,46.8,31.5,62.857142857142854
166,24,81,0,2,8,77.4,74.0,30.142857142857142,76.42857142857143
167,24,77,1,1,5,41.93333333333333,22.6,65.64285714285714,34.714285714285715
168,22,68,0,2,8,78.73333333333333,72.6,19.285714285714285,63.42857142857143
169,24,73,1,1,7,79.93333333333334,72.4,20.142857142857142,62.42857142857143
170,23,91,0,2,6,68.53333333333333,58.0,30.928571428571427,65.85714285714286
171,21,70,0,2,9,81.0,75.6,21.357142857142858,67.85714285714286
172,25,70,0,2,8,63.333333333333336,56.6,32.357142857142854,69.57142857142857
173,24,80,1,2,8,76.8,74.6,30.142857142857142,76.14285714285714
174,23,69,1,3,8,80.66666666666667,67.6,30.0,71.28571428571429
175,23,75,0,3,8,75.8,78.6,19.0,61.57142857142857
176,23,62,1,3,5,79.8,74.4,26.785714285714285,70.57142857142857
177,23,79,0,2,6,62.93333333333333,52.0,31.214285714285715,64.71428571428571
178,23,76,1,3,8,78.4,75.6,22.071428571428573,62.57142857142857
179,25,74,1,2,8,79.33333333333333,73.0,31.5,74.28571428571429
180,25,77,0,3,5,78.2,77.2,24.785714285714285,66.0
181,25,77,1,1,5,47.0,25.2,66.5,40.857142857142854
182,25,71,0,3,8,79.73333333333333,70.8,22.642857142857142,61.714285714285715
183,26,86,0,1,8,69.93333333333334,72.0,22.0,63.714285714285715
184,27,86,1,2,5,41.53333333333333,18.4,64.57142857142857,25.285714285714285
185,26,66,0,2,7,75.66666666666667,68.4,21.142857142857142,59.857142857142854
186,25,72,0,2,4,77.0,76.2,21.0,62.285714285714285
187,26,84,0,3,9,72.33333333333333,79.6,17.785714285714285,60.57142857142857
188,25,82,0,1,8,69.46666666666667,73.8,24.642857142857142,69.0
189,27,83,0,3,5,65.86666666666666,65.0,31.357142857142858,76.0
190,25,77,1,2,8,78.33333333333333,72.6,27.428571428571427,71.14285714285714
191,27,72,0,1,6,65.0,52.8,32.92857142857143,65.57142857142857
192,27,71,0,3,8,75.66666666666667,72.4,27.714285714285715,65.85714285714286
193,28,86,0,2,5,39.6,14.8,64.28571428571429,29.142857142857142
194,28,73,0,3,8,72.33333333333333,63.4,33.57142857142857,72.42857142857143
195,27,70,1,2,8,73.73333333333333,74.0,27.357142857142858,67.57142857142857
196,30,83,0,3,5,42.2,21.6,64.78571428571429,31.571428571428573
197,26,70,0,3,8,81.2,71.2,23.428571428571427,66.71428571428571
198,26,70,1,2,8,79.6,78.4,22.428571428571427,66.85714285714286
199,27,67,0,2,5,72.46666666666667,69.6,30.5,76.42857142857143
200,41,92,0,4,5,41.06666666666667,19.0,62.0,33.285714285714285
201,38,84,1,4,5,43.4,17.0,63.214285714285715,34.42857142857143
202,34,86,0,2,5,37.93333333333333,19.4,63.785714285714285,26.428571428571427
203,33,85,0,4,6,61.53333333333333,61.6,34.785714285714285,70.57142857142857
204,33,82,0,3,3,60.46666666666667,49.4,35.357142857142854,65.0
205,36,79,0,2,5,76.46666666666667,78.2,22.357142857142858,62.57142857142857
206,32,89,0,2,5,44.2,21.0,64.92857142857143,33.42857142857143
207,33,72,0,3,8,74.13333333333334,78.2,24.357142857142858,68.42857142857143
208,34,78,0,3,6,62.13333333333333,58.4,36.42857142857143,69.0
209,30,77,1,3,7,77.4,78.6,21.428571428571427,63.57142857142857
210,32,90,0,3,5,63.733333333333334,62.8,35.714285714285715,70.85714285714286
211,31,84,1,3,5,44.733333333333334,16.6,64.35714285714286,35.714285714285715
212,31,77,0,3,9,79.06666666666666,73.2,35.714285714285715,80.57142857142857
213,31,71,0,3,8,74.73333333333333,70.8,33.42857142857143,79.85714285714286
214,30,86,0,4,8,70.13333333333334,76.0,25.857142857142858,72.42857142857143
215,32,90,0,3,6,69.53333333333333,75.8,34.0,79.14285714285714
216,32,86,0,4,5,71.26666666666667,68.8,34.92857142857143,75.14285714285714
217,31,76,1,2,8,76.06666666666666,78.6,25.428571428571427,71.71428571428571
218,29,80,0,2,9,75.73333333333333,73.8,32.714285714285715,77.28571428571429
219,29,77,0,3,9,75.06666666666666,76.8,28.642857142857142,71.0
220,28,76,0,3,9,74.66666666666667,74.2,29.714285714285715,76.0
221,29,75,0,2,6,71.33333333333333,66.8,34.214285714285715,77.14285714285714
222,29,72,1,3,5,72.2,73.2,33.857142857142854,74.0
223,29,85,0,2,5,36.46666666666667,11.4,62.57142857142857,27.0
224,31,81,0,3,6,63.06666666666667,64.4,34.5,68.71428571428571
225,31,72,0,3,8,79.53333333333333,70.2,30.785714285714285,71.71428571428571
226,29,66,0,2,6,74.8,58.0,34.142857142857146,74.57142857142857
227,28,67,0,2,9,77.13333333333334,64.2,29.214285714285715,72.28571428571429
228,28,77,1,2,8,77.93333333333334,77.8,24.214285714285715,64.57142857142857
229,30,70,0,2,5,76.33333333333333,70.0,32.642857142857146,78.85714285714286
230,28,68,0,2,9,78.46666666666667,79.8,21.642857142857142,66.0
231,31,88,1,2,5,64.33333333333333,51.2,35.5,70.0
232,27,83,0,3,6,68.53333333333333,66.0,32.714285714285715,76.0
233,28,73,0,2,5,76.86666666666666,79.0,21.928571428571427,65.28571428571429
234,27,83,0,1,7,71.46666666666667,75.8,22.642857142857142,60.0
235,27,80,0,1,5,65.6,55.8,34.642857142857146,66.28571428571429
236,27,75,0,1,8,80.93333333333334,76.0,22.785714285714285,64.14285714285714
237,22,78,1,1,8,74.46666666666667,71.4,21.357142857142858,63.0
238,21,79,1,1,5,80.0,72.0,19.714285714285715,61.0
239,22,73,0,2,9,78.46666666666667,74.6,19.642857142857142,68.57142857142857
240,25,78,0,3,9,77.0,68.0,27.785714285714285,72.85714285714286
241,25,72,0,3,9,72.8,72.8,22.357142857142858,66.71428571428571
242,24,78,0,1,5,36.333333333333336,16.8,64.28571428571429,30.428571428571427
243,24,64,0,2,8,75.06666666666666,66.8,28.357142857142858,73.57142857142857
244,23,64,0,2,6,76.46666666666667,68.4,30.142857142857142,75.0
245,22,80,0,2,6,75.26666666666667,72.0,28.571428571428573,76.42857142857143
246,23,80,1,2,9,66.0,56.8,30.857142857142858,68.42857142857143
247,21,78,0,2,5,79.53333333333333,71.6,21.357142857142858,60.714285714285715
248,23,93,0,2,5,48.8,18.6,66.07142857142857,30.428571428571427
249,25,67,0,2,6,74.73333333333333,60.4,32.285714285714285,70.0
250,26,94,0,2,5,44.8,23.4,65.0,31.285714285714285
251,26,77,0,2,5,41.2,17.2,64.92857142857143,29.428571428571427
252,24,84,0,2,2,60.666666666666664,52.2,30.571428571428573,61.142857142857146
253,24,68,0,1,8,76.8,75.8,25.357142857142858,65.14285714285714
254,25,79,0,2,9,78.66666666666667,76.0,24.071428571428573,63.57142857142857
255,23,70,0,3,7,77.53333333333333,71.4,21.642857142857142,65.0
256,24,74,0,3,8,77.53333333333333,70.2,23.071428571428573,66.0
257,28,78,1,2,5,35.8,12.2,63.285714285714285,28.285714285714285
258,26,77,0,2,6,75.33333333333333,67.8,32.0,73.57142857142857
259,25,72,1,2,5,77.46666666666667,67.2,28.785714285714285,75.71428571428571
260,27,90,0,2,5,61.666666666666664,59.8,33.0,69.28571428571429
261,25,70,1,3,8,77.86666666666666,72.4,21.214285714285715,57.142857142857146
262,28,79,0,2,6,55.266666666666666,50.6,34.714285714285715,62.0
263,26,85,0,2,6,63.8,58.0,33.142857142857146,65.42857142857143
264,27,81,1,1,5,42.6,16.2,63.07142857142857,31.142857142857142
265,25,70,0,3,9,75.53333333333333,68.2,32.42857142857143,75.0
266,26,65,1,2,9,72.8,66.6,32.785714285714285,73.71428571428571
267,26,85,0,1,5,40.0,20.2,63.5,28.857142857142858
268,30,87,0,2,5,45.53333333333333,21.0,65.5,29.0
269,26,66,0,2,4,76.06666666666666,67.4,25.142857142857142,67.28571428571429
270,27,75,0,4,8,77.8,76.8,26.857142857142858,74.85714285714286
271,27,79,1,2,9,77.33333333333333,73.0,33.785714285714285,76.71428571428571
272,29,82,0,2,5,39.86666666666667,16.4,63.285714285714285,27.571428571428573
273,27,93,0,2,4,70.33333333333333,74.0,23.714285714285715,67.57142857142857
274,27,68,0,3,9,72.46666666666667,70.4,32.857142857142854,72.42857142857143
275,26,83,1,1,8,71.26666666666667,62.8,31.714285714285715,72.71428571428571
276,26,83,1,2,9,79.6,79.0,21.714285714285715,66.0
277,29,76,0,2,6,63.86666666666667,59.6,33.642857142857146,63.42857142857143
278,28,79,0,2,3,67.26666666666667,62.8,33.857142857142854,69.42857142857143
279,26,80,1,2,8,76.33333333333333,71.0,31.857142857142858,71.57142857142857
280,26,100,0,1,9,63.8,60.4,32.92857142857143,70.85714285714286
281,26,71,0,2,8,78.66666666666667,70.4,23.357142857142858,68.85714285714286
282,27,74,0,2,5,74.0,70.2,21.071428571428573,63.42857142857143
283,26,82,1,2,9,79.33333333333333,70.8,30.642857142857142,71.71428571428571
284,25,67,1,2,8,77.46666666666667,70.0,22.785714285714285,66.57142857142857
285,26,66,0,2,8,75.73333333333333,68.0,24.642857142857142,65.42857142857143
286,36,92,0,3,5,42.53333333333333,13.6,66.78571428571429,34.285714285714285
287,35,83,0,3,6,70.73333333333333,68.6,36.5,80.0
288,38,78,0,3,8,68.06666666666666,76.2,31.142857142857142,70.85714285714286
289,33,60,0,2,8,74.13333333333334,72.0,32.857142857142854,72.14285714285714
290,34,65,0,3,7,72.33333333333333,74.6,31.071428571428573,76.14285714285714
291,29,80,0,3,9,75.26666666666667,67.4,32.714285714285715,78.42857142857143
292,33,63,0,3,6,71.93333333333334,68.4,34.42857142857143,75.28571428571429
293,34,83,0,2,5,39.8,15.0,63.214285714285715,32.142857142857146
294,33,90,1,2,5,35.93333333333333,18.2,63.92857142857143,30.0
295,31,63,1,3,5,73.46666666666667,73.4,23.0,65.57142857142857
296,32,92,1,3,5,67.93333333333334,80.0,23.928571428571427,68.28571428571429
297,30,84,0,3,3,63.666666666666664,59.8,34.0,65.0
298,30,78,0,3,9,78.06666666666666,64.6,27.857142857142858,64.71428571428571
299,33,84,0,3,8,65.26666666666667,60.2,35.57142857142857,66.57142857142857
300,30,83,0,3,8,77.0,77.4,26.714285714285715,69.85714285714286
301,30,62,0,4,9,80.06666666666666,76.0,25.5,67.71428571428571
302,29,68,0,2,8,77.86666666666666,72.0,25.785714285714285,69.28571428571429
303,33,81,1,2,8,77.73333333333333,74.4,36.07142857142857,82.14285714285714
304,28,88,0,4,4,74.13333333333334,74.2,16.571428571428573,62.0
305,31,69,1,2,5,79.46666666666667,71.4,26.142857142857142,68.14285714285714
306,31,64,0,2,5,79.2,72.8,26.428571428571427,64.28571428571429
307,30,89,0,3,5,58.733333333333334,74.6,24.357142857142858,67.28571428571429
308,29,75,0,3,8,77.8,76.8,32.0,74.85714285714286
309,31,65,0,3,9,74.13333333333334,72.2,25.0,65.28571428571429
310,28,86,0,2,6,70.4,80.6,25.642857142857142,64.85714285714286
311,26,72,0,3,6,75.26666666666667,72.6,20.785714285714285,63.285714285714285
312,29,73,0,3,9,75.13333333333334,70.4,33.714285714285715,81.57142857142857
313,27,72,1,3,5,80.2,70.6,25.214285714285715,64.71428571428571
314,28,80,0,2,9,72.93333333333334,67.2,34.357142857142854,73.71428571428571
315,28,92,0,3,5,53.6,49.6,35.357142857142854,72.28571428571429
316,28,74,0,2,5,77.93333333333334,76.8,21.071428571428573,64.28571428571429
317,27,90,0,2,9,74.26666666666667,78.2,32.142857142857146,74.0
318,29,81,0,3,8,77.73333333333333,70.0,22.785714285714285,61.57142857142857
319,26,62,0,2,9,78.0,74.6,27.071428571428573,73.14285714285714
320,27,72,0,2,8,79.66666666666667,73.6,23.142857142857142,64.57142857142857
321,32,74,0,3,9,73.13333333333334,75.8,29.5,73.42857142857143
322,28,88,0,2,8,69.73333333333333,72.2,21.857142857142858,62.0
323,31,70,0,2,8,79.06666666666666,76.2,29.428571428571427,71.71428571428571
324,31,85,0,1,5,36.86666666666667,11.0,63.857142857142854,36.57142857142857
325,35,82,0,1,8,69.13333333333334,61.8,37.785714285714285,69.28571428571429
326,31,70,0,1,8,70.53333333333333,64.6,35.5,76.14285714285714
327,27,80,0,1,5,65.73333333333333,55.8,47.714285714285715,65.57142857142857
328,27,75,0,1,4,79.13333333333334,74.4,23.928571428571427,66.14285714285714
329,21,81,0,1,8,76.2,72.2,19.785714285714285,67.42857142857143
330,21,70,0,1,8,75.0,70.6,26.428571428571427,73.14285714285714
331,22,76,0,1,5,77.13333333333334,65.0,27.785714285714285,74.85714285714286
332,21,78,0,1,6,69.26666666666667,60.0,30.714285714285715,71.85714285714286
333,25,78,0,1,5,36.8,15.6,62.285714285714285,31.285714285714285
334,22,74,0,2,9,75.66666666666667,74.2,28.071428571428573,75.0
335,24,80,0,2,6,70.86666666666666,60.0,31.428571428571427,71.71428571428571
336,22,70,0,2,8,72.46666666666667,65.6,29.0,72.57142857142857
337,23,67,0,1,8,73.33333333333333,71.0,29.357142857142858,71.57142857142857
338,25,82,0,2,5,75.46666666666667,70.0,32.0,77.71428571428571
339,24,66,1,2,8,73.06666666666666,66.4,31.0,72.14285714285714
340,22,66,1,2,5,75.4,67.6,20.285714285714285,63.0
341,25,75,0,3,5,75.26666666666667,71.2,29.428571428571427,69.42857142857143
342,27,84,0,3,5,42.13333333333333,17.4,63.714285714285715,31.0
343,26,82,1,3,5,68.66666666666667,64.6,29.214285714285715,74.71428571428571
344,26,71,1,2,8,74.06666666666666,72.2,29.571428571428573,69.57142857142857
345,26,80,1,2,8,75.73333333333333,70.8,31.928571428571427,75.14285714285714
346,25,77,0,2,9,77.53333333333333,72.6,27.5,69.85714285714286
347,23,75,1,2,8,74.6,66.0,30.571428571428573,74.14285714285714
348,26,69,0,1,8,77.0,71.6,19.357142857142858,57.57142857142857
349,26,76,0,2,8,70.93333333333334,71.4,33.0,73.85714285714286
350,22,74,0,1,6,73.33333333333333,63.8,31.285714285714285,74.14285714285714
351,26,90,1,2,5,39.46666666666667,19.0,63.785714285714285,27.571428571428573
352,26,83,0,2,6,54.86666666666667,53.4,32.714285714285715,61.0
353,26,79,0,2,8,76.93333333333334,78.0,23.142857142857142,61.857142857142854
354,25,78,0,2,9,71.53333333333333,76.8,25.071428571428573,67.0
355,25,70,0,1,8,78.0,65.8,25.071428571428573,65.71428571428571
356,25,89,0,2,5,62.53333333333333,67.6,31.428571428571427,70.57142857142857
357,25,71,1,3,5,77.06666666666666,70.8,28.285714285714285,69.14285714285714
358,26,73,0,3,5,74.0,69.8,27.857142857142858,70.28571428571429
359,27,80,0,1,8,76.86666666666666,66.4,32.142857142857146,75.71428571428571
360,27,78,0,1,5,60.53333333333333,47.4,33.0,58.42857142857143
361,26,68,0,2,6,75.2,70.0,31.142857142857142,75.85714285714286
362,27,74,0,2,7,77.53333333333333,70.8,22.571428571428573,61.57142857142857
363,26,62,0,3,5,75.66666666666667,73.8,27.642857142857142,71.14285714285714
364,30,76,0,1,5,47.46666666666667,21.2,64.78571428571429,29.714285714285715
365,30,85,0,1,5,40.266666666666666,15.6,63.07142857142857,32.57142857142857
366,28,80,0,1,6,71.73333333333333,65.4,32.357142857142854,78.85714285714286
367,27,77,1,1,8,72.53333333333333,75.4,24.5,61.0
368,26,84,0,1,9,65.46666666666667,73.6,22.285714285714285,64.85714285714286
